id,type,message,timestamp,severity,source,user_id
1,info,Batch job #3654 processing 5164 records,2025-08-05 14:35:06,medium,mobile-app,1561
2,warning,Memory usage alert: 88% on server db-02,2025-07-23 12:39:53,medium,web-app,2430
3,info,Server cache-01 is experiencing high CPU usage: 63%,2025-07-24 23:43:15,high,system,4145
4,info,New user registration: diana - eve@example.com,2025-07-11 14:33:50,low,mobile-app,4587
5,alert,Error processing request for user bob: timeout,2025-08-07 02:31:56,critical,system,4497
6,success,Server cache-01 is experiencing high CPU usage: 74%,2025-08-02 14:15:22,critical,api,3547
7,success,New user registration: charlie - diana@example.com,2025-07-25 06:50:43,high,api,3104
8,error,File upload completed: document_6694.pdf (5.4 MB),2025-07-14 02:23:44,critical,api,335
9,success,System maintenance scheduled for 2025-08-08,2025-07-10 08:30:43,medium,cron-job,1582
10,success,Scheduled task 'backup' completed successfully,2025-07-10 15:19:49,critical,web-app,3299
11,success,Service user-service restarted due to memory leak,2025-08-01 10:50:13,medium,web-app,4057
12,error,Configuration change detected in module inventory,2025-07-17 00:52:32,low,api,312
13,success,Security scan completed: 12 issues found,2025-07-18 06:27:57,high,web-app,1103
14,info,Payment of $406.98 processed successfully for user charlie,2025-08-06 15:08:29,low,cron-job,2069
15,success,File upload completed: document_8365.pdf (31.7 MB),2025-08-01 15:22:26,critical,mobile-app,3030
16,info,Configuration change detected in module inventory,2025-07-13 08:54:06,medium,system,1557
17,error,System backup completed for database analytics_db,2025-07-23 17:32:31,critical,web-app,2445
18,warning,Scheduled task 'report' completed successfully,2025-07-09 05:29:39,medium,web-app,1529
19,alert,New order #35443 received from customer alice,2025-07-24 17:14:49,critical,system,4173
20,alert,System backup completed for database analytics_db,2025-07-24 05:18:55,high,web-app,640
21,success,New order #71764 received from customer charlie,2025-07-27 15:53:46,critical,cron-job,2241
22,error,Server cache-01 is experiencing high CPU usage: 97%,2025-08-05 21:38:44,critical,mobile-app,315
23,error,Configuration change detected in module analytics,2025-07-29 14:57:14,critical,api,3114
24,alert,Security scan completed: 3 issues found,2025-08-02 09:26:37,medium,cron-job,339
25,info,Cache cleared for region us-east,2025-07-10 01:54:34,high,mobile-app,2949
26,warning,Cache cleared for region eu-central,2025-07-29 20:39:13,medium,api,1569
27,error,File upload completed: document_2555.pdf (16.8 MB),2025-07-23 00:15:25,critical,web-app,664
28,info,Configuration change detected in module inventory,2025-07-15 20:55:41,critical,web-app,1707
29,info,Configuration change detected in module auth,2025-07-19 00:35:31,high,web-app,4077
30,warning,Security scan completed: 11 issues found,2025-07-24 17:40:34,medium,mobile-app,3394
31,info,System maintenance scheduled for 2025-09-02,2025-07-15 18:05:14,medium,cron-job,3276
32,success,User frank has logged in successfully,2025-07-29 03:56:20,critical,cron-job,1800
33,alert,Batch job #1528 processing 7493 records,2025-07-20 03:21:03,medium,mobile-app,48
34,info,Cache cleared for region us-west,2025-08-06 14:44:35,critical,system,4149
35,warning,System backup completed for database users_db,2025-07-13 02:51:35,medium,cron-job,3108
36,alert,New order #91874 received from customer henry,2025-07-23 20:43:28,low,mobile-app,3149
37,success,Cache cleared for region asia-pacific,2025-07-21 22:07:41,critical,cron-job,4628
38,warning,System maintenance scheduled for 2025-08-12,2025-07-13 02:33:34,critical,web-app,4720
39,warning,File upload completed: document_2151.pdf (5.5 MB),2025-07-12 23:03:13,medium,api,161
40,success,Database connection pool exhausted on web-02,2025-07-20 14:32:13,high,api,3980
41,warning,Payment of $997.02 processed successfully for user eve,2025-08-06 01:15:15,high,web-app,2639
42,error,Error processing request for user charlie: timeout,2025-07-15 21:35:29,low,system,1529
43,error,Batch job #7548 processing 5940 records,2025-07-23 21:00:11,low,cron-job,875
44,alert,Server web-02 is experiencing high CPU usage: 98%,2025-08-06 13:19:52,critical,api,3559
45,alert,Configuration change detected in module billing,2025-08-01 07:31:37,low,web-app,4106
46,alert,Memory usage alert: 82% on server db-01,2025-07-21 00:02:56,medium,system,4758
47,alert,Failed login attempt from IP 55.206.18.208 for user diana,2025-07-10 20:37:09,medium,system,3961
48,info,Security scan completed: 11 issues found,2025-07-27 21:57:00,low,web-app,1759
49,warning,New user registration: bob - frank@example.com,2025-07-10 10:34:53,critical,mobile-app,4574
50,warning,Cache cleared for region eu-central,2025-07-26 01:52:50,medium,mobile-app,3073
51,warning,Email notification sent to 441 recipients,2025-07-24 14:07:31,low,mobile-app,4732
52,warning,Configuration change detected in module billing,2025-07-13 20:43:39,low,cron-job,2612
53,alert,Batch job #8105 processing 4005 records,2025-08-03 12:47:23,high,web-app,4552
54,info,Service payment-service restarted due to memory leak,2025-07-30 06:21:00,high,cron-job,922
